Employee_ID,Termination_Date,Reason_for_Termination,Employee_Satisfaction_Score,Manager_Feedback_Score,Annual_Salary,Training_Hours_Last_Year,Termination_Year,Termination_Quarter
132,2016-03-20 09:15:59,Retirement,5,6.0,67044,8,2016.0,Q1
133,2023-08-10 00:20:09,Resignation,9,7.0,91009,17,2023.0,Q3
134,,Termination,5,3.0,96687,24,,
135,2019-04-08 11:22:55,Termination,10,,73492,36,2019.0,Q2
136,,Resignation,10,,94071,39,,
137,,Resignation,unknown,3.0,49024,2,,
138,2022-06-02 22:37:48,,,,89697,26,2022.0,Q2
139,2016-04-21 23:27:27,Termination,3,8.0,90429,20,2016.0,Q2
140,2019-06-07 02:27:58,,10,,77023,28,2019.0,Q2
141,,Resignation,5,4.0,105573,21,,
142,2023-12-14 20:19:25,Termination,2,8.0,41905,7,2023.0,Q4
143,,,5,3.0,71375,10,,
144,2021-04-22 22:38:42,Resignation,4,10.0,45952,32,2021.0,Q2
145,,,8,3.0,91730,30,,
146,2014-10-17 23:13:08,,9,5.0,69764,7,2014.0,Q4
147,2019-06-07 01:55:56,Termination,5,2.0,52790,49,2019.0,Q2
148,,,8,3.0,47701,29,,
149,,,8,1.0,71199,11,,
150,,Termination,1,6.0,103056,19,,
151,2021-09-27 00:42:30,Resignation,6,,79654,40,2021.0,Q3
152,2017-03-31 07:06:16,Resignation,10,10.0,85945,50,2017.0,Q1
153,2011-12-03 12:22:37,Resignation,1,10.0,88094,15,2011.0,Q4
154,,Retirement,9,7.0,90340,18,,
155,2023-01-09 05:38:46,Retirement,,7.0,82793,3,2023.0,Q1
156,,Retirement,,3.0,46874,19,,
157,2021-06-26 07:25:50,Termination,6,4.0,67131,8,2021.0,Q2
158,2016-09-07 20:44:42,Termination,2,7.0,82983,43,2016.0,Q3
159,2019-01-09 03:40:33,Retirement,6,1.0,95528,9,2019.0,Q1
160,2020-04-27 00:55:37,,4,3.0,103363,19,2020.0,Q2
161,,Retirement,8,3.0,105769,24,,
162,,Retirement,10,8.0,94614,35,,
163,2020-12-25 17:47:53,Resignation,1,,76050,39,2020.0,Q4
164,2021-09-16 13:55:46,Resignation,4,10.0,94385,38,2021.0,Q3
165,,Termination,1,2.0,116806,0,,
166,,Resignation,2,,45420,12,,
167,,Retirement,4,7.0,109169,26,,
168,,Termination,10,,81263,41,,
169,2017-05-09 21:25:03,,6,,49807,3,2017.0,Q2
170,2018-09-30 15:36:27,,3,6.0,77295,10,2018.0,Q3
171,2022-04-10 08:32:43,Resignation,4,2.0,56078,26,2022.0,Q2
172,,Retirement,10,8.0,110678,44,,
173,,Termination,2,3.0,67122,21,,
174,,Resignation,unknown,3.0,74060,21,,
175,2020-04-16 03:47:05,Termination,1,9.0,79265,26,2020.0,Q2
176,2022-09-17 10:52:01,Retirement,1,,104687,46,2022.0,Q3
177,,,1,4.0,55685,40,,
178,,,9,7.0,78624,29,,
179,2023-10-16 17:29:36,,4,1.0,68308,23,2023.0,Q4
180,,,4,,113060,27,,
181,2022-07-07 05:04:52,Termination,4,5.0,51461,8,2022.0,Q3
182,,Retirement,1,2.0,109585,7,,
183,,Retirement,2,10.0,79986,1,,
184,2013-08-22 15:40:34,Termination,10,9.0,113724,0,2013.0,Q3
185,,Termination,1,8.0,74635,18,,
186,,Retirement,10,6.0,53793,10,,
187,,,3,3.0,41322,38,,
188,,,4,,74050,16,,
189,2022-09-14 07:11:08,Termination,5,9.0,97231,29,2022.0,Q3
190,2022-06-13 15:18:49,Termination,10,7.0,53877,26,2022.0,Q2
191,2015-01-18 08:40:17,,unknown,4.0,42596,32,2015.0,Q1
192,,Retirement,,4.0,83179,27,,
193,,,,5.0,91031,38,,
194,2019-05-06 01:04:42,Resignation,3,1.0,49020,11,2019.0,Q2
195,,Termination,10,9.0,101271,27,,
196,,,1,9.0,90297,42,,
197,2021-04-24 03:49:26,Retirement,5,10.0,54449,40,2021.0,Q2
198,,Resignation,3,10.0,110663,25,,
199,2015-07-08 04:04:35,,2,7.0,79795,48,2015.0,Q3
200,2021-12-20 21:18:41,Retirement,8,5.0,66613,0,2021.0,Q4
201,2017-12-13 17:18:40,Termination,6,6.0,119732,46,2017.0,Q4
202,2023-04-19 17:14:23,Resignation,6,,47686,6,2023.0,Q2
203,2013-07-14 12:53:14,Resignation,6,6.0,83791,45,2013.0,Q3
204,2021-09-06 20:30:12,Termination,6,2.0,73367,21,2021.0,Q3
205,2023-05-22 04:55:31,Resignation,3,10.0,91922,14,2023.0,Q2
206,,Resignation,5,3.0,77308,8,,
207,2013-11-08 22:23:41,Retirement,,2.0,99149,40,2013.0,Q4
208,,Termination,3,4.0,69872,21,,
209,,Termination,,5.0,95132,50,,
210,2021-03-29 00:54:37,Termination,3,,55388,8,2021.0,Q1
211,2018-09-06 13:06:22,Resignation,unknown,9.0,61819,45,2018.0,Q3
212,2019-11-21 12:40:09,Termination,6,5.0,83166,11,2019.0,Q4
213,2018-04-04 12:56:52,Resignation,,6.0,100939,46,2018.0,Q2
214,,Retirement,9,8.0,64825,37,,
215,2022-06-03 10:56:47,Resignation,1,1.0,88228,28,2022.0,Q2
216,2023-10-11 12:35:41,Resignation,5,3.0,41946,37,2023.0,Q4
217,2018-06-08 15:04:37,Termination,,,97332,42,2018.0,Q2
218,2014-12-03 05:06:37,Resignation,unknown,4.0,76123,8,2014.0,Q4
219,2020-12-28 18:39:57,Termination,unknown,9.0,80583,31,2020.0,Q4
220,2020-05-10 22:52:32,Retirement,10,2.0,55041,6,2020.0,Q2
221,,Termination,7,2.0,117416,29,,
222,,Retirement,3,7.0,113538,43,,
223,2020-10-28 15:50:53,Resignation,3,8.0,91386,10,2020.0,Q4
224,,,3,2.0,59962,21,,
225,,Termination,,3.0,116716,42,,
226,,,8,1.0,75324,40,,
227,2023-03-06 08:21:01,,,9.0,90060,18,2023.0,Q1
228,2015-07-06 17:54:34,,4,8.0,42716,15,2015.0,Q3
229,,,,3.0,79125,2,,
230,,Resignation,,3.0,96162,16,,
231,2016-09-26 03:09:29,Resignation,7,9.0,80843,36,2016.0,Q3
232,2017-12-16 13:56:32,,3,5.0,57577,6,2017.0,Q4
233,,Termination,5,5.0,53904,20,,
234,,Resignation,4,6.0,109458,2,,
235,2023-10-17 13:27:13,Termination,2,5.0,65558,14,2023.0,Q4
236,2014-09-03 15:02:38,Resignation,1,2.0,46508,31,2014.0,Q3
237,,,4,6.0,95919,10,,
238,,Termination,9,3.0,99505,24,,
239,,,unknown,7.0,114549,45,,
240,2021-04-08 19:18:29,,10,9.0,50076,11,2021.0,Q2
241,,Resignation,10,10.0,93931,23,,
242,2020-06-27 10:54:34,Resignation,4,7.0,116688,26,2020.0,Q2
243,,Retirement,2,,117632,30,,
244,,,6,8.0,115280,48,,
245,2023-09-17 02:57:05,,9,,48005,4,2023.0,Q3
246,2023-12-15 02:19:03,Termination,5,2.0,52417,36,2023.0,Q4
247,,Resignation,,2.0,106905,38,,
248,,Resignation,unknown,2.0,95695,8,,
249,2020-10-12 06:06:12,Retirement,4,10.0,51908,33,2020.0,Q4
250,,Termination,8,8.0,119076,23,,
251,,Retirement,2,8.0,106071,42,,
252,,,4,8.0,117018,8,,
253,2017-07-26 09:12:48,Termination,1,4.0,110103,37,2017.0,Q3
254,2017-02-15 00:35:04,,2,2.0,68897,44,2017.0,Q1
255,,Termination,6,2.0,93624,12,,
256,,Termination,8,7.0,79205,22,,
257,,Resignation,5,6.0,71269,15,,
258,,Termination,3,5.0,67030,10,,
259,,Retirement,6,1.0,78047,12,,
260,2017-09-30 11:32:56,,unknown,6.0,100390,27,2017.0,Q3
261,,Resignation,3,8.0,108754,39,,
262,,,10,3.0,48128,12,,
263,2021-06-30 08:01:15,,1,9.0,110879,7,2021.0,Q2
264,2021-08-01 19:23:30,Termination,,,103553,8,2021.0,Q3
265,,Termination,6,6.0,47948,5,,
266,,Retirement,1,,94244,49,,
267,2018-05-26 05:39:42,Resignation,6,8.0,112761,25,2018.0,Q2
268,,Termination,7,,103512,31,,
269,,Retirement,4,,65827,14,,
270,2022-07-01 23:36:16,Resignation,3,,103506,48,2022.0,Q3
271,2020-12-29 00:56:05,Retirement,1,,50196,6,2020.0,Q4
272,2020-06-19 09:17:39,,2,6.0,75954,3,2020.0,Q2
273,2022-03-26 13:35:35,Termination,6,,84644,49,2022.0,Q1
274,2015-09-02 14:26:20,Retirement,1,,92858,22,2015.0,Q3
275,,Resignation,10,3.0,72012,49,,
276,,,10,3.0,76070,43,,
277,2022-07-22 03:03:23,Termination,4,3.0,56217,42,2022.0,Q3
278,,,2,8.0,101656,22,,
279,,Retirement,4,4.0,45691,1,,
280,2018-07-03 09:49:23,,1,5.0,86977,37,2018.0,Q3
281,,Termination,5,7.0,84694,24,,
282,2015-11-20 05:28:09,Retirement,9,8.0,65784,3,2015.0,Q4
283,,Termination,6,10.0,116297,30,,
284,2023-06-20 04:47:54,Termination,1,9.0,75820,11,2023.0,Q2
285,2017-07-07 00:51:10,Termination,5,,85499,6,2017.0,Q3
286,2020-06-18 01:00:10,,6,4.0,106466,15,2020.0,Q2
287,2013-10-31 00:02:21,,3,9.0,67335,39,2013.0,Q4
288,2019-04-15 06:26:31,Resignation,7,9.0,89644,20,2019.0,Q2
289,2021-07-25 02:54:25,,7,4.0,110229,44,2021.0,Q3
290,,Retirement,2,8.0,59358,34,,
291,2022-12-05 06:28:26,Resignation,5,2.0,75189,20,2022.0,Q4
292,,Retirement,9,,60131,23,,
293,2022-09-08 01:57:45,,4,4.0,74666,3,2022.0,Q3
294,,Termination,6,10.0,75199,20,,
295,,Retirement,10,,115696,24,,
296,,Retirement,8,3.0,90555,1,,
297,,,7,,52163,43,,
298,2017-03-12 14:47:25,,3,2.0,54772,13,2017.0,Q1
299,,Retirement,4,9.0,88275,5,,
300,,Resignation,4,4.0,76007,50,,
